status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,personal_status,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,credit,sex,mature
1,6,1,1,1169,1,1,4,1,1,4,1,67,1,1,2,1,1,1,1,1,1,1
2,48,2,1,5951,2,2,2,2,1,2,1,22,1,1,1,1,1,2,1,0,0,0
3,12,1,2,2096,2,3,2,1,1,3,1,49,1,1,1,2,2,2,1,1,1,1
1,42,2,3,7882,2,3,2,1,2,4,2,45,1,2,1,1,2,2,1,1,1,1
1,24,3,4,4870,2,2,3,1,1,4,3,53,1,2,2,1,2,2,1,0,1,1
3,36,2,2,9055,1,2,2,1,1,4,3,35,1,2,1,2,2,1,1,1,1,1
3,24,2,3,2835,3,1,3,1,1,4,2,53,1,1,1,1,1,2,1,1,1,1
2,36,2,5,6948,2,2,2,1,1,2,4,35,1,3,1,3,1,1,1,1,1,1
3,12,2,1,3059,4,3,2,3,1,4,1,61,1,1,1,2,1,2,1,1,1,1
2,30,1,4,5234,2,4,4,4,1,2,4,28,1,1,2,3,1,2,1,0,1,1
2,12,2,4,1295,2,5,3,2,1,1,4,25,1,3,1,1,1,2,1,0,0,0
1,48,2,6,4308,2,5,3,2,1,4,2,24,1,3,1,1,1,2,1,0,0,0
2,12,2,1,1567,2,2,1,2,1,1,4,22,1,1,1,1,1,1,1,1,0,0
1,24,1,4,1199,2,1,4,1,1,4,4,60,1,1,2,2,1,2,1,0,1,1
1,15,2,4,1403,2,2,2,2,1,4,4,28,1,3,1,1,1,2,1,1,0,1
1,24,2,1,1282,5,2,4,2,1,2,4,32,1,1,1,2,1,2,1,0,0,1
3,24,1,1,2424,1,1,4,1,1,4,2,53,1,1,2,1,1,2,1,1,1,1
1,30,4,6,8072,1,5,2,1,1,3,4,25,2,1,3,1,1,2,1,1,1,0
2,24,2,5,12579,2,1,4,2,1,2,3,44,1,2,1,3,1,1,1,0,0,1
3,24,2,1,3430,3,1,3,1,1,2,4,31,1,1,1,1,2,1,1,1,1,1
3,9,1,4,2134,2,2,4,1,1,4,4,48,1,1,3,1,1,1,1,1,1,1
1,6,2,1,2647,3,2,2,1,1,3,1,44,1,3,1,1,2,2,1,1,1,1
1,10,1,4,2241,2,5,1,1,1,3,1,48,1,3,2,2,2,2,2,1,1,1
2,12,1,5,1804,5,5,3,1,1,4,2,44,1,1,1,1,1,2,1,1,1,1
3,10,1,3,2069,1,2,2,4,1,1,4,26,1,1,2,1,1,2,2,1,1,1
1,6,2,3,1374,2,2,1,1,1,2,1,36,2,1,1,2,1,1,1,1,1,1
3,6,4,1,426,2,1,4,4,1,4,4,39,1,1,1,2,1,2,1,1,1,1
4,12,5,1,409,4,2,3,2,1,3,1,42,1,3,2,1,1,2,1,1,0,1
2,7,2,1,2415,2,2,3,1,2,2,1,34,1,1,1,1,1,2,1,1,1,1
1,60,3,6,6836,2,1,3,1,1,4,3,63,1,1,2,1,1,1,1,0,1,1
2,18,2,6,1913,4,5,3,4,1,3,1,36,2,1,1,1,1,1,1,1,1,1
1,24,2,3,4020,2,2,2,1,1,2,4,27,3,1,1,1,1,2,1,1,1,1
2,18,2,4,5866,5,2,2,1,1,2,4,30,1,1,2,1,1,1,1,1,1,1
3,12,1,6,1264,1,1,4,1,1,4,3,57,1,3,1,2,1,2,1,1,1,1
4,12,2,3,1474,2,5,4,2,1,1,2,33,2,1,1,3,1,1,1,1,0,1
2,45,1,1,4746,2,5,4,1,1,2,2,25,1,1,2,2,1,2,1,0,1,0
3,48,1,2,6110,2,2,1,1,1,3,3,31,2,2,1,1,1,1,1,1,1,1
4,18,2,1,2100,2,2,4,1,3,2,1,37,3,1,1,1,1,2,1,0,1,1
4,10,2,7,1225,2,2,2,1,1,2,4,37,1,1,1,1,1,1,1,1,1,1
2,9,2,1,458,2,2,4,1,1,3,1,24,1,1,1,1,1,2,1,1,1,0
3,30,2,1,2333,3,1,4,1,1,2,4,30,2,1,1,3,1,2,1,1,1,1
2,12,2,1,1158,3,2,3,3,1,1,4,26,1,1,1,1,1,1,1,1,1,1
2,18,3,8,6204,2,2,2,1,1,4,1,44,1,1,1,2,2,1,1,1,1,1
1,30,1,5,6187,5,3,1,4,1,4,4,24,1,3,2,1,1,2,1,1,1,0
1,48,1,5,6143,2,1,4,2,1,4,3,58,3,2,2,2,1,2,1,0,0,1
3,11,1,4,1393,2,5,4,2,1,4,4,35,1,1,2,3,1,2,1,1,0,1
3,36,2,1,2299,3,1,4,1,1,4,4,39,1,1,1,1,1,2,1,1,1,1
1,6,2,5,1352,3,4,1,2,1,2,2,23,1,3,1,4,1,1,1,1,0,0
3,11,1,4,7228,2,2,1,1,1,4,2,39,1,1,2,2,1,2,1,1,1,1
3,12,2,1,2073,5,2,4,2,3,2,1,28,1,1,1,1,1,2,1,1,0,1
2,24,3,3,2333,1,5,4,1,1,2,2,29,2,1,1,2,1,2,1,1,1,1
2,27,3,5,5965,2,1,1,1,1,2,4,30,1,1,2,3,1,1,1,1,1,1
3,12,2,1,1262,2,2,3,1,1,2,4,25,1,1,1,1,1,2,1,1,1,0
3,18,2,5,3378,1,2,2,1,1,1,2,31,1,1,1,1,1,1,1,1,1,1
2,36,3,4,2225,2,1,4,1,1,4,3,57,2,2,2,1,1,1,1,0,1,1
3,6,5,4,783,1,2,1,1,2,2,1,26,3,1,1,2,2,2,1,1,1,1
2,12,2,1,6468,1,4,2,1,1,1,3,52,1,1,1,3,1,1,1,0,1,1
3,36,1,1,9566,2,2,2,2,1,2,4,31,3,1,2,1,1,2,1,1,0,1
4,18,2,4,1961,2,1,3,2,1,2,4,23,1,1,1,3,1,2,1,1,0,0
1,36,1,3,6229,2,5,4,2,3,4,3,23,1,3,2,2,1,1,1,0,0,0
2,9,2,6,1391,2,2,2,4,1,1,1,27,2,1,1,1,1,1,1,1,1,1
2,15,1,1,1537,1,1,4,1,2,4,1,50,1,1,2,1,1,1,1,1,1,1
2,36,4,6,1953,2,1,4,1,1,4,3,61,1,2,1,3,1,1,1,0,1,1
2,48,4,6,14421,2,2,2,1,1,2,4,25,1,1,1,1,1,1,1,0,1,0
